name,codes,char,groupes,subgroupes
hundred points,1F4AF,💯,Smileys & Emotion,emotion
input numbers,1F522,🔢,Symbols,alphanum
thumbs up,1F44D,👍,People & Body,hand-fingers-closed
thumbs down,1F44E,👎,People & Body,hand-fingers-closed
1st place medal,1F947,🥇,Activities,award-medal
2nd place medal,1F948,🥈,Activities,award-medal
3rd place medal,1F949,🥉,Activities,award-medal
pool 8 ball,1F3B1,🎱,Activities,game
A button (blood type),1F170,🅰,Symbols,alphanum
AB button (blood type),1F18E,🆎,Symbols,alphanum
abacus,1F9EE,🧮,Objects,computer
input latin letters,1F524,🔤,Symbols,alphanum
input latin lowercase,1F521,🔡,Symbols,alphanum
Japanese “acceptable” button,1F251,🉑,Symbols,alphanum
adhesive bandage,1FA79,🩹,Objects,medical
person,1F9D1,🧑,People & Body,person
aerial tramway,1F6A1,🚡,Travel & Places,transport-air
airplane,2708,✈,Travel & Places,transport-air
alarm clock,23F0,⏰,Travel & Places,time
alembic,2697,⚗,Objects,science
alien,1F47D,👽,Smileys & Emotion,face-costume
ambulance,1F691,🚑,Travel & Places,transport-ground
amphora,1F3FA,🏺,Food & Drink,dishware
anchor,2693,⚓,Travel & Places,transport-water
baby angel,1F47C,👼,People & Body,person-fantasy
anger symbol,1F4A2,💢,Smileys & Emotion,emotion
angry face,1F620,😠,Smileys & Emotion,face-negative
anguished face,1F627,😧,Smileys & Emotion,face-concerned
ant,1F41C,🐜,Animals & Nature,animal-bug
red apple,1F34E,🍎,Food & Drink,food-fruit
Aquarius,2652,♒,Symbols,zodiac
Aries,2648,♈,Symbols,zodiac
reverse button,25C0,◀,Symbols,av-symbol
fast down button,23EC,⏬,Symbols,av-symbol
fast up button,23EB,⏫,Symbols,av-symbol
down arrow,2B07,⬇,Symbols,arrow
downwards button,1F53D,🔽,Symbols,av-symbol
play button,25B6,▶,Symbols,av-symbol
right arrow curving down,2935,⤵,Symbols,arrow
right arrow curving up,2934,⤴,Symbols,arrow
left arrow,2B05,⬅,Symbols,arrow
down-left arrow,2199,↙,Symbols,arrow
down-right arrow,2198,↘,Symbols,arrow
right arrow,27A1,➡,Symbols,arrow
left arrow curving right,21AA,↪,Symbols,arrow
up arrow,2B06,⬆,Symbols,arrow
up-down arrow,2195,↕,Symbols,arrow
upwards button,1F53C,🔼,Symbols,av-symbol
up-left arrow,2196,↖,Symbols,arrow
up-right arrow,2197,↗,Symbols,arrow
clockwise vertical arrows,1F503,🔃,Symbols,arrow
counterclockwise arrows button,1F504,🔄,Symbols,arrow
artist palette,1F3A8,🎨,Activities,arts & crafts
articulated lorry,1F69B,🚛,Travel & Places,transport-ground
satellite,1F6F0,🛰,Travel & Places,transport-air
